"filename", "language", "C++", "YAML", "Dart", "Markdown", "CMake", "comment", "blank", "total"
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\image_screen.dart", "Dart", 0, 0, 430, 0, 0, 26, 15, 471
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\create_journal_screen.dart", "Dart", 0, 0, 184, 0, 0, 5, 15, 204
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\detail_journal_screen.dart", "Dart", 0, 0, 131, 0, 0, 4, 4, 139
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\edit_journal_screen.dart", "Dart", 0, 0, 172, 0, 0, 6, 12, 190
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\journal_screen.dart", "Dart", 0, 0, 384, 0, 0, 13, 15, 412
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\create_notebook_screen.dart", "Dart", 0, 0, 232, 0, 0, 5, 15, 252
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\edit_notebook.dart", "Dart", 0, 0, 185, 0, 0, 0, 14, 199
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\create_note.dart", "Dart", 0, 0, 207, 0, 0, 1, 15, 223
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\detail_note_screen.dart", "Dart", 0, 0, 156, 0, 0, 5, 6, 167
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\edit_note_screen.dart", "Dart", 0, 0, 197, 0, 0, 2, 13, 212
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\note_screen.dart", "Dart", 0, 0, 114, 0, 0, 0, 9, 123
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\notebook_screen.dart", "Dart", 0, 0, 371, 0, 0, 12, 18, 401
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\reminder\reminder_screen.dart", "Dart", 0, 0, 390, 0, 0, 17, 19, 426
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\todo\todo_screen.dart", "Dart", 0, 0, 380, 0, 0, 18, 20, 418
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\testing.dart", "Dart", 0, 0, 86, 0, 0, 6, 7, 99
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_reminder.dart", "Dart", 0, 0, 92, 0, 0, 5, 9, 106
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_task.dart", "Dart", 0, 0, 51, 0, 0, 0, 9, 60
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\album_item.dart", "Dart", 0, 0, 72, 0, 0, 2, 5, 79
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\image_item.dart", "Dart", 0, 0, 71, 0, 0, 30, 6, 107
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\journal_item.dart", "Dart", 0, 0, 119, 0, 0, 3, 7, 129
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\new_image.dart", "Dart", 0, 0, 62, 0, 0, 2, 8, 72
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\note_item.dart", "Dart", 0, 0, 154, 0, 0, 3, 5, 162
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\notebook_item.dart", "Dart", 0, 0, 171, 0, 0, 3, 10, 184
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\reminder_item.dart", "Dart", 0, 0, 154, 0, 0, 8, 7, 169
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\todo_item.dart", "Dart", 0, 0, 128, 0, 0, 15, 7, 150
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\navigation.dart", "Dart", 0, 0, 248, 0, 0, 2, 5, 255
"d:\Flutter_projects\updated\sds\Mystica\pubspec.yaml", "YAML", 0, 53, 0, 0, 0, 55, 15, 123
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 4, 5, 15
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 6, 25
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 4, 13, 62
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 5, 9, 34
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 4, 10, 44
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 6, 2, 17
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 2, 10, 65
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 6, 6, 20
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 15, 48, 246
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 407, 56, 10242, 10, 19, 533, 744, 12011
